City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Ulladulla,AU,-35.35,150.47,53.6,54,0,12.75,clear sky
264,Bereda,ES,43.27,-7.54,54.0,99,16,5.01,few clouds
265,Necochea,AR,-38.55,-58.74,44.01,60,0,10.0,clear sky
266,Kapoeta,SS,4.77,33.59,73.24,81,92,4.32,overcast clouds
267,Bela,IN,25.93,81.98,77.94,81,5,7.56,clear sky
268,Sola,VU,-13.88,167.55,79.05,86,81,25.19,broken clouds
269,Tezu,IN,27.92,96.17,75.49,79,100,1.81,light rain
270,Timizart,DZ,36.8,4.27,72.54,42,8,6.76,clear sky
271,Mackay,AU,-21.15,149.2,69.8,73,75,20.8,broken clouds
272,Forbes,AU,-33.38,148.02,49.42,75,0,6.02,clear sky
273,Fort Frances,CA,48.6,-93.4,71.01,46,75,6.93,broken clouds
274,Aklavik,CA,68.22,-135.01,53.6,71,20,6.93,few clouds
275,Hot Springs,US,34.5,-93.06,93.2,67,20,8.05,few clouds
276,Leh,IN,34.17,77.58,56.64,37,0,5.44,clear sky
277,Talcahuano,CL,-36.72,-73.12,53.6,54,0,13.87,clear sky
278,Vanimo,PG,-2.67,141.3,78.26,78,63,3.83,broken clouds
279,Eyl,SO,7.98,49.82,78.46,72,75,20.56,broken clouds
280,Nelson Bay,AU,-32.72,152.15,52.0,100,0,5.82,clear sky
281,Fare,PF,-16.7,-151.02,78.22,75,43,24.36,light rain
282,Alofi,NU,-19.06,-169.92,80.6,65,46,16.11,scattered clouds
283,Faanui,PF,-16.48,-151.75,77.99,77,66,23.96,light rain
284,Amroha,IN,28.92,78.47,77.32,88,24,9.71,few clouds
285,San Benito,GT,16.91,-89.91,95.86,44,13,3.6,few clouds
286,Wanning,CN,18.8,110.4,78.13,85,10,2.89,clear sky
287,Bilara,IN,26.18,73.71,82.11,77,59,2.57,broken clouds
288,Gold Coast,AU,-28.0,153.43,66.99,82,90,4.7,overcast clouds
289,Klaksvik,FO,62.23,-6.59,46.4,87,100,2.24,overcast clouds
290,Sciacca,IT,37.51,13.09,79.0,86,0,1.01,clear sky
291,Kadhan,PK,24.48,68.99,81.46,85,100,13.98,overcast clouds
292,Hlubocky,CZ,49.62,17.39,64.0,95,99,5.3,light rain
293,Uige,AO,-7.61,15.06,68.99,78,60,3.49,broken clouds
294,Kieta,PG,-6.22,155.63,82.8,74,3,6.55,clear sky
295,Bowen,AU,-20.02,148.23,66.2,82,75,9.17,broken clouds
296,Yellowknife,CA,62.46,-114.35,48.2,87,90,18.34,light rain
297,Sur,OM,22.57,59.53,83.1,67,12,10.38,few clouds
298,Marrakesh,MA,31.63,-8.01,73.4,46,0,11.41,clear sky
299,Premia De Mar,ES,41.49,2.37,68.0,81,2,1.99,clear sky
300,Vardo,NO,70.37,31.11,51.42,77,91,13.8,overcast clouds
301,Vangaindrano,MG,-23.35,47.6,67.84,91,27,6.55,light rain
302,Kenai,US,60.55,-151.26,62.01,59,1,6.4,clear sky
303,Stolin,BY,51.89,26.85,65.08,83,26,7.43,scattered clouds
304,Avallon,FR,47.48,3.9,55.0,89,25,4.21,scattered clouds
305,Mayo,US,38.89,-76.51,86.0,79,40,5.82,scattered clouds
306,Shetpe,KZ,44.17,52.12,70.3,56,0,6.85,clear sky
307,Peniche,PT,39.36,-9.38,66.99,84,15,15.01,few clouds
308,Sierre,CH,46.29,7.54,59.0,87,90,2.24,overcast clouds
309,Kibondo,TZ,-3.59,30.72,63.23,56,5,2.33,clear sky
310,Guadalupe Y Calvo,MX,26.1,-106.97,65.59,91,84,4.63,light rain
311,Grasse,FR,43.67,6.92,66.2,100,75,1.36,light rain
